Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2017,31,League Average,,,82,,,,241.6,39.0,85.4,0.457,9.7,27.0,0.358,29.4,58.4,0.503,17.8,23.1,0.772,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6,26.6,41,41,0.0,0.0,0.0,108.8,108.8,96.4,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209,,733247,
2016,31,League Average,,,82,,,,241.8,38.2,84.6,0.452,8.5,24.1,0.354,29.7,60.5,0.491,17.7,23.4,0.757,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7,26.8,41,41,0.0,0.0,0.0,106.4,106.4,95.8,0.276,0.285,0.541,0.502,13.2,23.8,0.209,0.502,13.2,76.2,0.209,,732555,
2015,31,League Average,,,82,,,,242.0,37.5,83.6,0.449,7.8,22.4,0.35,29.7,61.2,0.485,17.1,22.8,0.75,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0,26.8,41,41,0.0,0.0,0.0,105.6,105.6,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205,,729877,
2014,31,League Average,,,82,,,,242.0,37.7,83.0,0.45399999999999996,7.7,21.5,0.36,30.0,61.5,0.488,17.8,23.6,0.7559999999999999,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0,26.6,41,41,0.0,0.0,0.0,106.7,106.7,93.9,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215,,713714,
2013,31,League Average,,0,82,,,,241.9,37.1,82.0,0.45299999999999996,7.2,20.0,0.359,30.0,62.1,0.483,16.7,22.2,0.753,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1,26.7,41,41,0.0,0.0,0.0,105.9,105.9,92.0,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204,,710653,
2012,31,League Average,,,66,,,,241.9,36.5,81.4,0.44799999999999995,6.4,18.4,0.349,30.1,63.0,0.47700000000000004,16.9,22.5,0.752,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3,26.7,33,33,0.0,0.0,0.0,104.6,104.6,91.3,0.276,0.226,0.527,0.48700000000000004,13.8,27.0,0.20800000000000002,0.48700000000000004,13.8,73.0,0.20800000000000002,,570035,
2011,31,League Average,,,82,,,,241.9,37.2,81.2,0.45899999999999996,6.5,18.0,0.358,30.8,63.2,0.48700000000000004,18.6,24.4,0.763,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,26.7,41,41,0.0,0.0,0.0,107.3,107.3,92.1,0.3,0.222,0.541,0.498,13.4,26.4,0.22899999999999998,0.498,13.4,73.6,0.22899999999999998,,710241,
2010,31,League Average,,,82,,,,241.7,37.7,81.7,0.461,6.4,18.1,0.355,31.3,63.6,0.49200000000000005,18.6,24.5,0.759,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,26.8,41,41,0.0,-0.01,-0.01,107.6,107.6,92.7,0.3,0.222,0.5429999999999999,0.501,13.3,26.3,0.228,0.501,13.3,73.7,0.228,,703627,
2009,31,League Average,,,82,,,,241.7,37.1,80.9,0.45899999999999996,6.6,18.1,0.36700000000000005,30.5,62.8,0.485,19.1,24.7,0.7709999999999999,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0,26.8,41,41,0.0,0.0,0.0,108.3,108.3,91.7,0.306,0.22399999999999998,0.544,0.5,13.3,26.7,0.23600000000000002,0.5,13.3,73.3,0.23600000000000002,,718309,
2008,31,League Average,,,82,,,,241.5,37.3,81.5,0.457,6.6,18.1,0.36200000000000004,30.7,63.4,0.484,18.8,24.9,0.755,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,27.0,41,41,0.0,0.0,0.0,107.5,107.5,92.4,0.306,0.222,0.54,0.49700000000000005,13.2,26.7,0.231,0.49700000000000005,13.2,73.3,0.231,,713186,
2007,31,League Average,,,82,,,,242.2,36.5,79.7,0.45799999999999996,6.1,16.9,0.358,30.5,62.8,0.485,19.6,26.1,0.752,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,26.7,41,41,0.0,0.0,0.0,106.5,106.5,91.9,0.327,0.213,0.541,0.496,14.2,27.1,0.24600000000000002,0.496,14.2,72.9,0.24600000000000002,,728036,
2006,31,League Average,,,82,,,,242.1,35.8,79.0,0.45399999999999996,5.7,16.0,0.358,30.1,63.0,0.478,19.6,26.3,0.745,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0,26.6,41,41,0.0,0.0,0.0,106.2,106.2,90.5,0.33299999999999996,0.20199999999999999,0.536,0.49,13.7,27.3,0.248,0.49,13.7,72.7,0.248,,719853,
